sampledate,depth_range_m,mono_chl_spec,correct_chl_fluor
1995-01-24,0-2,,
1995-01-24,0-8,,
1995-03-08,0-2,,
1995-03-08,0-8,,
1995-03-28,0-2,,
1995-03-28,0-8,,
1995-04-24,0-2,,
1995-04-24,0-8,,
1995-05-09,0-2,,
1995-05-09,0-8,,
1995-05-23,0-2,,
1995-05-23,0-8,,
1995-06-06,0-8,,
1995-06-21,0-2,,
1995-07-06,0-8,,
1995-07-18,0-8,,
1995-08-02,0-8,,
1995-08-14,0-8,,
1995-08-30,0-8,,
1995-09-11,0-2,,
1995-09-11,0-8,,
1995-09-25,0-2,,
1995-09-25,0-8,,
1995-10-11,0-2,,
1995-10-11,0-8,,
1995-10-25,0-2,,
1995-10-25,0-8,,
1995-11-10,0-2,,
1995-11-10,0-8,,
1995-12-06,0-2,,
1995-12-06,0-8,,
1996-02-06,0-2,,
1996-02-06,0-8,,
1996-04-09,0-2,,
1996-04-09,0-8,,
1996-04-17,0-2,,
1996-04-17,0-8,,
1996-05-01,0-2,,
1996-05-01,0-8,,
1996-05-14,0-2,,
1996-05-14,0-8,,
1996-05-28,0-2,,
1996-05-28,0-8,,
1996-06-10,0-2,,
1996-06-10,0-8,,
1996-06-26,0-2,,
1996-06-26,0-8,,
1996-07-08,0-2,,
1996-07-08,0-8,,
1996-07-22,0-2,,
1996-07-22,0-8,,
1996-08-05,0-2,,
1996-08-05,0-8,,
1996-08-19,0-2,,
1996-08-19,0-8,,
1996-09-05,0-2,,
1996-09-05,0-8,,
1996-09-16,0-2,,
1996-09-16,0-8,,
1996-10-16,0-2,,
1996-10-16,0-8,,
1996-11-08,0-2,,
1996-11-08,0-8,,
1996-11-25,0-2,,
1996-11-25,0-8,,
1996-12-06,0-2,,
1996-12-06,0-8,,
1997-01-14,0-2,,
1997-01-14,0-8,,
1997-02-17,0-2,,
1997-02-17,0-8,,
1997-04-09,0-2,,
1997-04-09,0-8,,
1997-05-02,0-2,,
1997-05-02,0-8,,
1997-05-28,0,,
1997-05-28,0,,
1997-05-28,0,,
1997-05-28,4,,
1997-05-28,4,,
1997-05-28,4,,
1997-05-28,0-2,,
1997-05-28,0-2,,
1997-05-28,0-2,,
1997-05-28,0-8,,
1997-05-28,0-8,,
1997-05-28,0-8,,
1997-06-11,0,,
1997-06-11,0,,
1997-06-11,0,,
1997-06-11,4,,
1997-06-11,4,,
1997-06-11,4,,
1997-06-11,8,,
1997-06-11,8,,
1997-06-11,8,,
1997-06-11,12,,
1997-06-11,12,,
1997-06-11,12,,
1997-06-11,0-2,,
1997-06-11,0-2,,
1997-06-11,0-2,,
1997-06-11,0-8,,
1997-06-11,0-8,,
1997-06-11,0-8,,
1997-06-25,0,,
1997-06-25,0,,
1997-06-25,0,,
1997-06-25,4,,
1997-06-25,4,,
1997-06-25,4,,
1997-06-25,8,,
1997-06-25,8,,
1997-06-25,8,,
1997-06-25,12,,
1997-06-25,12,,
1997-06-25,12,,
1997-06-25,0-2,,
1997-06-25,0-2,,
1997-06-25,0-2,,
1997-06-25,0-8,,
1997-06-25,0-8,,
1997-06-25,0-8,,
1997-07-09,0,,
1997-07-09,0,,
1997-07-09,0,,
1997-07-09,4,,
1997-07-09,4,,
1997-07-09,4,,
1997-07-09,8,,
1997-07-09,8,,
1997-07-09,8,,
1997-07-09,12,,
1997-07-09,12,,
1997-07-09,12,,
1997-07-09,0-2,,
1997-07-09,0-2,,
1997-07-09,0-2,,
1997-07-09,0-8,,
1997-07-09,0-8,,
1997-08-06,0-2,,
1997-09-02,0-2,,
1997-11-30,0-2,,
1997-11-30,0-8,,
1998-03-13,0-2,,
1998-03-13,0-8,,
1998-03-26,0-2,,
1998-03-26,0-8,,
1998-04-10,0-2,,
1998-04-10,0-8,,
1998-04-24,0-2,,
1998-04-24,0-8,,
1998-05-11,0-2,,
1998-05-11,0-8,,
1998-05-28,0-2,,
1998-06-08,0-8,,
1998-06-22,0-2,,
1998-06-22,0-8,,
1998-06-22,0-8,,
1998-07-06,0-2,,
1998-07-06,0-8,,
1998-07-23,0-2,,
1998-07-23,0-2,,
1998-08-02,0-2,10.9,
1998-08-02,0-8,12.7,
1998-08-18,0-8,12.9,
1998-09-02,0-2,4.3,
1998-09-28,0-2,7.5,
1998-09-28,0-8,7.9,
1998-09-28,0-8,7.1,
1998-10-27,0-2,7.2,
1998-10-27,0-8,11.2,
1998-11-23,0-2,6.4,
1998-11-23,0-8,5.1,
1999-01-25,0-2,0.8,
1999-01-25,0-8,2.1,
1999-02-22,0-2,2.7,
1999-02-22,0-8,4.3,
1999-03-29,0-2,11.1,
1999-03-29,0-8,,
1999-04-12,0-2,3.2,
1999-04-12,0-8,3.3,
1999-04-26,0-2,0.6,
1999-04-26,0-8,0.5,
1999-05-10,0,,
1999-05-10,2,,
1999-05-10,4,,
1999-05-10,6,,
1999-05-10,8,,
1999-05-10,10,,
1999-05-10,12,,
1999-05-10,0-2,2.3,
1999-05-10,0-8,1.5,
1999-05-26,0-2,1.5,
1999-05-26,0-8,1.6,
1999-06-07,0,,
1999-06-07,2,,
1999-06-07,4,,
1999-06-07,6,,
1999-06-07,8,,
1999-06-07,10,,
1999-06-07,12,,
1999-06-07,0-2,1.5,
1999-06-07,0-8,0.5,
1999-06-21,0-2,6.9,
1999-06-21,0-8,6,
1999-07-06,0,,
1999-07-06,2,,
1999-07-06,4,,
1999-07-06,6,,
1999-07-06,8,,
1999-07-06,10,,
1999-07-06,12,,
1999-07-06,0-2,14.5,
1999-07-06,0-8,9.4,
1999-07-19,0-2,17.9,
1999-07-19,0-8,19.6,
1999-08-02,0,,21.9
1999-08-02,2,,16.4
1999-08-02,4,,22.2
1999-08-02,6,,19.8
1999-08-02,8,,23.1
1999-08-02,10,,2.9
1999-08-02,12,,2.2
1999-08-02,0-2,13.1,16.8
1999-08-02,0-8,14.4,19.9
1999-08-16,0-2,14.6,
1999-08-16,0-8,13.4,
1999-08-30,0,,14.5
1999-08-30,2,,
1999-08-30,4,,13.3
1999-08-30,6,,15.3
1999-08-30,8,,16.5
1999-08-30,10,,11
1999-08-30,12,,4.6
1999-08-30,0-2,10.2,11
